epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,279.068,1.7015,1.87117,1.56346,0.37077,0.35997,0.2718,0.10716,2.0929,2.17032,1.92414,0.000663781,0.000663781,0.000663781
2,523.859,1.9272,2.00288,1.77051,0.39814,0.30844,0.28369,0.11576,2.11918,2.32236,1.89871,0.00130849,0.00130849,0.00130849
3,830.859,1.92504,1.98671,1.75755,0.44335,0.32238,0.29775,0.10672,2.23548,2.12775,1.92917,0.00193121,0.00193121,0.00193121
4,1056.74,1.87158,1.96394,1.7182,0.45131,0.35225,0.3382,0.13616,2.07205,2.26683,1.85228,0.001901,0.001901,0.001901
5,1374.46,1.84196,1.91183,1.702,0.54076,0.36644,0.39315,0.16793,1.99366,1.81654,1.74734,0.001868,0.001868,0.001868
6,1606.59,1.80305,1.85233,1.67732,0.55044,0.38013,0.41416,0.18939,1.91975,1.79847,1.67423,0.001835,0.001835,0.001835
7,1896.28,1.78803,1.8,1.64786,0.58447,0.39708,0.43186,0.19732,1.88713,1.70064,1.67276,0.001802,0.001802,0.001802
8,2229.58,1.73553,1.76725,1.62817,0.57432,0.40702,0.43994,0.19788,1.88973,1.68706,1.65782,0.001769,0.001769,0.001769
9,2464.87,1.7324,1.72729,1.63205,0.58962,0.43167,0.46387,0.22225,1.83213,1.6026,1.63973,0.001736,0.001736,0.001736
10,2794.76,1.71438,1.6967,1.61385,0.57993,0.41847,0.45097,0.20518,1.88604,1.74463,1.64944,0.001703,0.001703,0.001703
11,3024.53,1.68609,1.68602,1.59766,0.61561,0.43536,0.47443,0.2238,1.83898,1.62719,1.64458,0.00167,0.00167,0.00167
12,3259.65,1.6854,1.65077,1.58283,0.60459,0.44436,0.47444,0.21972,1.85119,1.64469,1.64132,0.001637,0.001637,0.001637
13,3576.36,1.64804,1.63057,1.57357,0.63165,0.45332,0.50512,0.23899,1.82613,1.52574,1.58686,0.001604,0.001604,0.001604
14,3922.86,1.6422,1.61035,1.56184,0.63104,0.45233,0.50694,0.23935,1.83179,1.50206,1.59283,0.001571,0.001571,0.001571
15,4155.81,1.63198,1.58381,1.53802,0.63102,0.46677,0.51573,0.2641,1.7428,1.43832,1.51866,0.001538,0.001538,0.001538
16,4385.83,1.6322,1.60262,1.54345,0.62565,0.46751,0.52179,0.24969,1.81929,1.46117,1.5479,0.001505,0.001505,0.001505
17,4616.35,1.60869,1.57259,1.52789,0.69871,0.4451,0.52449,0.25468,1.79574,1.44103,1.53179,0.001472,0.001472,0.001472
18,4868.32,1.62264,1.54823,1.5311,0.66146,0.46743,0.5321,0.26269,1.78639,1.40601,1.55272,0.001439,0.001439,0.001439
19,5092.42,1.59105,1.5309,1.51717,0.63659,0.47025,0.52662,0.26702,1.74518,1.40472,1.52325,0.001406,0.001406,0.001406
20,5314.93,1.58264,1.51298,1.50953,0.69926,0.46453,0.53656,0.26906,1.77072,1.40029,1.53986,0.001373,0.001373,0.001373
21,5537.66,1.58468,1.50768,1.50982,0.64024,0.47536,0.52215,0.25916,1.75361,1.44724,1.55498,0.00134,0.00134,0.00134
22,5760.11,1.58289,1.49536,1.51077,0.67167,0.48145,0.55569,0.28621,1.6987,1.35444,1.51036,0.001307,0.001307,0.001307
23,5984.35,1.56082,1.47049,1.49276,0.69205,0.47399,0.54559,0.2852,1.68946,1.36509,1.47617,0.001274,0.001274,0.001274
24,6207,1.55278,1.47447,1.49437,0.68358,0.46926,0.54445,0.28209,1.70848,1.37116,1.50744,0.001241,0.001241,0.001241
25,6429.41,1.56179,1.45698,1.48162,0.69812,0.47498,0.55791,0.29099,1.68084,1.33962,1.47369,0.001208,0.001208,0.001208
26,6653.19,1.53412,1.43437,1.47114,0.68352,0.4934,0.5635,0.3053,1.63298,1.29977,1.46259,0.001175,0.001175,0.001175
